User Name,Comment Text,Comment Time,Likes,Thumbnail URL
zoh ahs,Mentorship is the key 1 million $ factor. I left programming back in School in 2020 as I couldn't find anybody  and teachers were busy churning out graduates to flood the market with a tictactoe project made in C and C++ which could be copied off the internet. Really amazes me they  played around with so many futures of their student just to get paycheck at the end of the month!,1 year ago,6,https://yt3.ggpht.com/ytc/AGIKgqNpmWbR2-dFj4N-0BAAe7EKWN8lbNoMGrko8A=s48-c-k-c0x00ffffff-no-rj
Abdul Rehman Khan,"I am so beyond happy for this playlist!

I had absolutely ZERO insight of the technical industry in Pakistan, as it isn't discussed much. But this playlist is REALLY helping me get an insight look of the local tech industry

Tysm for this Zubair ️ you're helping many students by doing this",4 months ago,0,https://yt3.ggpht.com/ytc/AGIKgqNwYoXIzvP1vStbLz1KsGQdk02wu964NpjwpGmA8GU=s48-c-k-c0x00ffffff-no-rj
zub c,"So the 2nd Episode of Ehmad Zubair's professional guidance to the young software engineers has been uploaded on his YouTube channel today. Trust me, tie yourself genuinely to this string of pearls - guaranteed success is just a matter of time...",2 years ago,5,https://yt3.ggpht.com/ytc/AGIKgqNiOSJykUUM5zqLs-EGbMZSdIttPtjZpAWJhFxT=s48-c-k-c0x00ffffff-no-rj
Random Entertainment,I am glad that i found this channel before starting my degree,1 year ago,4,
Haider Ali,I agree with you. In a company one can learn so much,2 years ago,4,
Muhammad Aashir,"I have a question Ehmad, would be glad if you briefly answer it.
I have seen some fresh graduates who combine to make a team of 4-5 people and they start their own company. Behind the scene what is basically happening is they are taking online projects (Freelancing) and portray  themselves as a company rather than a single entity. What do you think about it. Is it effective and good strategy keeping in view growth, sustainability and revenue stream (which is quite high in this case) of each individual?",2 years ago (edited),1,
Anish Zahoor,"For a fresh grad, in the current market situation, should he go for a company that is large-scale and pays well or for a company that has a small employee count and pays relatively less than what is being paid out there to the freshers.",2 years ago,0,
Waqas Rao,Sir I am in FSC part 1....but before going university I want that I learn skills which is helpful in my degree( software engineering) and before going university I also want that by using that skill I start freelancing for my expenses and polish my skills .....sir kindly suggest me those skills name which will surely helpful in my degree as well as in freelance marketplace....Some people told me that web designing and development are very helpful....but idk anything about it...I only little bit know about html but any other language Idk....so consider me as beginner and suggest me skills ... jazakallah,9 months ago,0,
SK GAMING,"Thank sir, Got to learn a lot from you",2 years ago,0,
Zain Waseem,"Your videos Outstanding 
But Duration Too Much Long in other Videos.
That's Very Good For Your Credit Hour 
But It's Boring For Us to long videos.
So Please Make Shorter Episode for us.
ThankYou Sir.",1 year ago,1,
Mubashira Fatima,Where should a computer science student start her career from? Which domain to choose when you have basic knowledge of 2 to 3 programming languages?,1 year ago,0,
Haroon Dilshad,Sound reasoning. Very well explained.,2 years ago,4,
Oabid Khan,Do our future depends on university degrees or our skills because some people say that university degree plays more role than skills bed a lot companies hired you on the basis of degree ...than skill..kindly reply....?,1 year ago,0,
Muhammad Hamza Qureshi,So like working as a software developer for like 10-15 years can someone get promoted or get a job as a project manager without qualification like most of job openings require experience in management or degree/certification. so how does that work?,2 years ago,1,
